+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 |  diff   | pct_diff |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 378036     | 2670.1                     | 5370.95  | 6   | 9413,9588,9763,9409,9584,9759       | 2700.85 | 101.15   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3110.93                    | 5811.14  | 6   | 12045,12220,12395,12041,12216,12391 | 2700.21 | 86.8     |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 315536     | 2278.8                     | 4976.9   | 6   | 9406,9581,9756,9402,9577,9752       | 2698.1  | 118.4    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 3468.11                    | 6159.14  | 6   | 12052,12227,12402,12048,12223,12398 | 2691.03 | 77.59    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 3803.6                     | 6491.61  | 6   | 12059,12234,12409,12055,12230,12405 | 2688.01 | 70.67    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1012144    | 3864.45                    | 6551.19  | 6   | 37238,37427,37616,37234,37423,37612 | 2686.74 | 69.52    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2262144    | 1943.86                    | 4630.25  | 6   | 29902,30091,30280,29898,30087,30276 | 2686.39 | 138.2    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 378036     | 2773.33                    | 5438.16  | 6   | 10463,10638,10813,10459,10634,10809 | 2664.83 | 96.09    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 440536     | 3173.29                    | 5836.08  | 6   | 10470,10645,10820,10466,10641,10816 | 2662.79 | 83.91    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 3574.47                    | 6233.6   | 6   | 10477,10652,10827,10473,10648,10823 | 2659.13 | 74.39    |
