+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 3524288    | 2303.98                          | 3755.34                    | 6   | 82753,82949,83145,82752,82948,83144 | 1451.36  | 62.99    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 4048576    | 2775.5                           | 4223.39                    | 6   | 62264,62467,62670,62263,62466,62669 | 1447.89  | 52.17    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 8048576    | 3684.24                          | 5127.39                    | 6   | 23421,23624,23827,23420,23623,23826 | 1443.15  | 39.17    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 7374.17                          | 8783.17                    | 6   | 46766,46941,47116,46765,46940,47115 | 1409.0   | 19.11    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 7048576    | 4107.92                          | 5514.88                    | 6   | 19151,19354,19557,19150,19353,19556 | 1406.96  | 34.25    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 9048576    | 3597.72                          | 5001.36                    | 6   | 68998,69201,69404,68997,69200,69403 | 1403.64  | 39.01    |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 4524288    | 4227.0                           | 5605.29                    | 6   | 80415,80611,80807,80414,80610,80806 | 1378.29  | 32.61    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 4524288    | 3765.07                          | 5121.51                    | 6   | 83943,84139,84335,83942,84138,84334 | 1356.44  | 36.03    |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4524288    | 3329.96                          | 4664.55                    | 6   | 85707,85903,86099,85706,85902,86098 | 1334.59  | 40.08    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 5048576    | 1872.88                          | 3202.18                    | 6   | 23400,23603,23806,23399,23602,23805 | 1329.3   | 70.98    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 8048576    | 5001.6                           | 6321.13                    | 6   | 65946,66149,66352,65945,66148,66351 | 1319.53  | 26.38    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4048576    | 1870.82                          | 3189.4                     | 6   | 67745,67948,68151,67744,67947,68150 | 1318.58  | 70.48    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8048576    | 6474.26                          | 7785.35                    | 6   | 70209,70412,70615,70208,70411,70614 | 1311.09  | 20.25    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 8048576    | 3620.45                          | 4920.88                    | 6   | 20376,20579,20782,20375,20578,20781 | 1300.43  | 35.92    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 8048576    | 6196.46                          | 7492.67                    | 6   | 67773,67976,68179,67772,67975,68178 | 1296.21  | 20.92    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 8048576    | 6096.62                          | 7383.97                    | 6   | 64728,64931,65134,64727,64930,65133 | 1287.35  | 21.12    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 253036     | 2602.42                          | 3880.74                    | 6   | 50413,50588,50763,50412,50587,50762 | 1278.32  | 49.12    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 4048576    | 2290.64                          | 3567.25                    | 6   | 64700,64903,65106,64699,64902,65105 | 1276.61  | 55.73    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 4524288    | 3669.97                          | 4943.07                    | 6   | 86883,87079,87275,86882,87078,87274 | 1273.1   | 34.69    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 3024288    | 2055.96                          | 3306.49                    | 6   | 86862,87058,87254,86861,87057,87253 | 1250.53  | 60.82    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 4524288    | 3712.02                          | 4960.55                    | 6   | 82767,82963,83159,82766,82962,83158 | 1248.53  | 33.63    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 440536     | 6478.34                          | 7719.13                    | 6   | 46759,46934,47109,46758,46933,47108 | 1240.79  | 19.15    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 7048576    | 3229.23                          | 4464.74                    | 6   | 23414,23617,23820,23413,23616,23819 | 1235.51  | 38.26    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 3024288    | 2019.73                          | 3253.26                    | 6   | 82746,82942,83138,82745,82941,83137 | 1233.53  | 61.07    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 4024288    | 3352.65                          | 4568.95                    | 6   | 83936,84132,84328,83935,84131,84327 | 1216.3   | 36.28    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 190536     | 1074.05                          | 2278.88                    | 6   | 49356,49531,49706,49355,49530,49705 | 1204.83  | 112.18   |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 756072     | 2795.76                          | 3997.27                    | 6   | 2890,3072,3254,2889,3071,3253       | 1201.51  | 42.98    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 6048576    | 3503.78                          | 4697.78                    | 6   | 19144,19347,19550,19143,19346,19549 | 1194.0   | 34.08    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 5520.98                          | 6709.37                    | 6   | 49398,49573,49748,49397,49572,49747 | 1188.39  | 21.52    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 7048576    | 3228.43                          | 4397.43                    | 6   | 20369,20572,20775,20368,20571,20774 | 1169.0   | 36.21    |
