+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 | pct_diff |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 256072     | 250.55                           | 383.64                             | 6   | 7230,7412,7594,7228,7410,7592       | 53.12    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256072     | 245.87                           | 376.18                             | 6   | 8322,8504,8686,8320,8502,8684       | 53.0     |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 256        | 4.33                             | 6.62                               | 6   | 30344,30533,30722,30342,30531,30720 | 52.89    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1006072    | 948.29                           | 1447.15                            | 6   | 8364,8546,8728,8362,8544,8726       | 52.61    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 2          | 0.78                             | 1.19                               | 6   | 3289,3471,3653,3287,3469,3651       | 52.56    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 16         | 1.39                             | 2.11                               | 6   | 10870,11045,11220,10868,11043,11218 | 51.8     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 10.85                            | 16.46                              | 6   | 7195,7377,7559,7193,7375,7557       | 51.71    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 506072     | 483.46                           | 730.73                             | 6   | 1238,1420,1602,1236,1418,1600       | 51.15    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 506072     | 482.46                           | 728.86                             | 6   | 7244,7426,7608,7242,7424,7606       | 51.07    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 32         | 1.94                             | 2.93                               | 6   | 9302,9477,9652,9300,9475,9650       | 51.03    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 1048576    | 461.74                           | 696.71                             | 6   | 24590,24793,24996,24588,24791,24994 | 50.89    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 756072     | 717.78                           | 1081.99                            | 6   | 8350,8532,8714,8348,8530,8712       | 50.74    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 65536      | 27.37                            | 41.24                              | 6   | 20299,20502,20705,20297,20500,20703 | 50.68    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 32         | 2.26                             | 3.38                               | 6   | 12977,13152,13327,12975,13150,13325 | 49.56    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 65536      | 125.44                           | 184.68                             | 6   | 5032,5214,5396,5030,5212,5394       | 47.23    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 128        | 2.55                             | 3.75                               | 6   | 14041,14216,14391,14039,14214,14389 | 47.06    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 131072     | 131.07                           | 191.82                             | 6   | 8315,8497,8679,8313,8495,8677       | 46.35    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 65536      | 67.44                            | 97.45                              | 6   | 8308,8490,8672,8306,8488,8670       | 44.5     |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 128        | 2.9                              | 4.19                               | 6   | 32038,32227,32416,32036,32225,32414 | 44.48    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 32         | 1.25                             | 1.79                               | 6   | 3863,4045,4227,3861,4043,4225       | 43.2     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 16384      | 19.08                            | 27.29                              | 6   | 8294,8476,8658,8292,8474,8656       | 43.03    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 32768      | 35.17                            | 50.29                              | 6   | 1203,1385,1567,1201,1383,1565       | 42.99    |
