+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 | pct_diff |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1012144    | 2932.55  | 3656.49                      | 6   | 35890,36079,36268,35892,36081,36270 | 24.69    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 2.29     | 2.84                         | 6   | 52816,53005,53194,52818,53007,53196 | 24.02    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 69.28    | 85.84                        | 6   | 8499,8674,8849,8501,8676,8851       | 23.9     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 32         | 1.85     | 2.29                         | 6   | 7386,7561,7736,7388,7563,7738       | 23.78    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 512144     | 1518.01  | 1878.91                      | 6   | 43247,43436,43625,43249,43438,43627 | 23.77    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 512        | 2.13     | 2.63                         | 6   | 26146,26349,26552,26148,26351,26554 | 23.47    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 2          | 0.98     | 1.21                         | 6   | 24872,25075,25278,24874,25077,25280 | 23.47    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 512144     | 1495.46  | 1846.01                      | 6   | 35876,36065,36254,35878,36067,36256 | 23.44    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 16384      | 136.72   | 168.6                        | 6   | 13224,13399,13574,13226,13401,13576 | 23.32    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 128036     | 501.97   | 618.82                       | 6   | 8520,8695,8870,8522,8697,8872       | 23.28    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1762144    | 5112.41  | 6298.65                      | 6   | 43282,43471,43660,43284,43473,43662 | 23.2     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 256        | 2.6      | 3.2                          | 6   | 53376,53565,53754,53378,53567,53756 | 23.08    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 205.71   | 253.13                       | 6   | 35855,36044,36233,35857,36046,36235 | 23.05    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 262144     | 766.99   | 940.95                       | 6   | 35869,36058,36247,35871,36060,36249 | 22.68    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 1024       | 10.27    | 12.56                        | 6   | 10571,10746,10921,10573,10748,10923 | 22.3     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2262144    | 6544.74  | 7999.78                      | 6   | 35925,36114,36303,35927,36116,36305 | 22.23    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 16         | 2.53     | 3.09                         | 6   | 19349,19517,19685,19351,19519,19687 | 22.13    |
