+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-728899ba | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 32         | 1.73             | 2.01                   | 6   | 33427,33630,33833,33432,33635,33838 | 16.18    |
| 12  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 1          | 1.0              | 1.16                   | 6   | 22850,23018,23186,22855,23023,23191 | 16.0     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1          | 1.02             | 1.18                   | 6   | 15227,15402,15577,15232,15407,15582 | 15.69    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 3.8              | 4.39                   | 6   | 17859,18027,18195,17864,18032,18200 | 15.53    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 32         | 1.75             | 2.02                   | 6   | 11587,11762,11937,11592,11767,11942 | 15.43    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 512        | 3.05             | 3.52                   | 6   | 25538,25741,25944,25543,25746,25949 | 15.41    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 32         | 4.12             | 4.75                   | 6   | 44284,44473,44662,44289,44478,44667 | 15.29    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 3.09             | 3.56                   | 6   | 24936,25139,25342,24941,25144,25347 | 15.21    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 69.09            | 79.5                   | 6   | 51144,51333,51522,51149,51338,51527 | 15.07    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2          | 1.13             | 1.3                    | 6   | 11034,11209,11384,11039,11214,11389 | 15.04    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 32         | 1.53             | 1.76                   | 6   | 1087,1262,1437,1092,1267,1442       | 15.03    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 2          | 1.15             | 1.32                   | 6   | 7359,7534,7709,7364,7539,7714       | 14.78    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 6048576    | 4127.16          | 4737.22                | 6   | 31740,31943,32146,31745,31948,32151 | 14.78    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 32         | 2.02             | 2.31                   | 6   | 11062,11237,11412,11067,11242,11417 | 14.36    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 7048576    | 4820.05          | 5509.74                | 6   | 31747,31950,32153,31752,31955,32158 | 14.31    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 9048576    | 6172.04          | 7051.07                | 6   | 31761,31964,32167,31766,31969,32172 | 14.24    |
