+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 | pct_diff |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1512144    | 4373.56  | 5395.06                            | 6   | 43275,43464,43653,43278,43467,43656 | 23.36    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1262144    | 3638.4   | 4486.42                            | 6   | 43268,43457,43646,43271,43460,43649 | 23.31    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 9.16     | 11.27                              | 6   | 32880,33083,33286,32883,33086,33289 | 23.03    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4          | 1.27     | 1.56                               | 6   | 43695,43884,44073,43698,43887,44076 | 22.83    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1262144    | 3678.68  | 4504.25                            | 6   | 35897,36086,36275,35900,36089,36278 | 22.44    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 262144     | 766.99   | 938.74                             | 6   | 35869,36058,36247,35872,36061,36250 | 22.39    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2262144    | 6544.74  | 7997.9                             | 6   | 35925,36114,36303,35928,36117,36306 | 22.2     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1012144    | 2932.55  | 3563.13                            | 6   | 35890,36079,36268,35893,36082,36271 | 21.5     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 205.71   | 249.46                             | 6   | 35855,36044,36233,35858,36047,36236 | 21.27    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 7.29     | 8.84                               | 6   | 52837,53026,53215,52840,53029,53218 | 21.26    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 64         | 1.93     | 2.34                               | 6   | 8443,8618,8793,8446,8621,8796       | 21.24    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 1.13     | 1.37                               | 6   | 43114,43303,43492,43117,43306,43495 | 21.24    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2          | 1.46     | 1.77                               | 6   | 42554,42743,42932,42557,42746,42935 | 21.23    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8          | 1.28     | 1.55                               | 6   | 24886,25089,25292,24889,25092,25295 | 21.09    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1012144    | 3014.53  | 3647.84                            | 6   | 43261,43450,43639,43264,43453,43642 | 21.01    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 2.29     | 2.77                               | 6   | 52816,53005,53194,52819,53008,53197 | 20.96    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 9.32     | 11.26                              | 6   | 24963,25166,25369,24966,25169,25372 | 20.82    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1762144    | 5165.83  | 6224.23                            | 6   | 35911,36100,36289,35914,36103,36292 | 20.49    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 4          | 1.86     | 2.24                               | 6   | 41427,41616,41805,41430,41619,41808 | 20.43    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 512144     | 1518.01  | 1826.76                            | 6   | 43247,43436,43625,43250,43439,43628 | 20.34    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 762144     | 2238.57  | 2693.05                            | 6   | 35883,36072,36261,35886,36075,36264 | 20.3     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2262144    | 6672.87  | 7987.57                            | 6   | 43296,43485,43674,43299,43488,43677 | 19.7     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 512        | 2.54     | 3.04                               | 6   | 25537,25740,25943,25540,25743,25946 | 19.69    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8          | 1.45     | 1.73                               | 6   | 32803,33006,33209,32806,33009,33212 | 19.31    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1512144    | 4470.68  | 5332.87                            | 6   | 35904,36093,36282,35907,36096,36285 | 19.29    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 64         | 2.09     | 2.49                               | 6   | 27343,27546,27749,27346,27549,27752 | 19.14    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1          | 0.89     | 1.06                               | 6   | 43681,43870,44059,43684,43873,44062 | 19.1     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 512144     | 1495.46  | 1779.42                            | 6   | 35876,36065,36254,35879,36068,36257 | 18.99    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 32         | 1.91     | 2.27                               | 6   | 5286,5461,5636,5289,5464,5639       | 18.85    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 4096       | 5.1      | 6.06                               | 6   | 30430,30633,30836,30433,30636,30839 | 18.82    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 5.12     | 6.08                               | 6   | 27385,27588,27791,27388,27591,27794 | 18.75    |
