+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-munro-728899ba | cnt |                 qid                 |   diff   | pct_diff |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 378036     | 1544.06                    | 1678.44                | 6   | 16427,16602,16777,16429,16604,16779 | 134.38   | 8.7      |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2508.89                    | 2640.41                | 6   | 11695,11870,12045,11697,11872,12047 | 131.52   | 5.24     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 253036     | 985.19                     | 1116.18                | 6   | 16413,16588,16763,16415,16590,16765 | 130.99   | 13.3     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 1048576    | 674.92                     | 802.46                 | 6   | 27445,27648,27851,27447,27650,27853 | 127.54   | 18.9     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3264.89                    | 3390.07                | 6   | 3309,3484,3659,3311,3486,3661       | 125.18   | 3.83     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 378036     | 2817.79                    | 2936.37                | 6   | 5927,6102,6277,5929,6104,6279       | 118.58   | 4.21     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 315536     | 1264.34                    | 1380.78                | 6   | 16420,16595,16770,16422,16597,16772 | 116.44   | 9.21     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2368.74                    | 2484.28                | 6   | 5920,6095,6270,5922,6097,6272       | 115.54   | 4.88     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 2816.36                    | 2930.78                | 6   | 3302,3477,3652,3304,3479,3654       | 114.42   | 4.06     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 2016.07                    | 2127.08                | 6   | 11688,11863,12038,11690,11865,12040 | 111.01   | 5.51     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 378036     | 3031.92                    | 3139.2                 | 6   | 14327,14502,14677,14329,14504,14679 | 107.28   | 3.54     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3537.53                    | 3641.65                | 6   | 14334,14509,14684,14336,14511,14686 | 104.12   | 2.94     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 190536     | 739.95                     | 831.34                 | 6   | 9581,9756,9931,9583,9758,9933       | 91.39    | 12.35    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 1898.08                    | 1987.12                | 6   | 3288,3463,3638,3290,3465,3640       | 89.04    | 4.69     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 524288     | 203.01                     | 290.79                 | 6   | 25002,25205,25408,25004,25207,25410 | 87.78    | 43.24    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 190536     | 744.13                     | 825.53                 | 6   | 16406,16581,16756,16408,16583,16758 | 81.4     | 10.94    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 524288     | 347.65                     | 427.45                 | 6   | 27438,27641,27844,27440,27643,27846 | 79.8     | 22.95    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 524288     | 203.9                      | 282.24                 | 6   | 26220,26423,26626,26222,26425,26628 | 78.34    | 38.42    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 128036     | 1013.88                    | 1090.75                | 6   | 14299,14474,14649,14301,14476,14651 | 76.87    | 7.58     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1505.05                    | 1580.05                | 6   | 14306,14481,14656,14308,14483,14658 | 75.0     | 4.98     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 190536     | 1527.52                    | 1600.09                | 6   | 11681,11856,12031,11683,11858,12033 | 72.57    | 4.75     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 282768     | 2182.69                    | 2253.39                | 6   | 24526,24694,24862,24528,24696,24864 | 70.7     | 3.24     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1422.24                    | 1489.46                | 6   | 5906,6081,6256,5908,6083,6258       | 67.22    | 4.73     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 128036     | 497.65                     | 563.47                 | 6   | 9574,9749,9924,9576,9751,9926       | 65.82    | 13.23    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1887.17                    | 1952.34                | 6   | 5913,6088,6263,5915,6090,6265       | 65.17    | 3.45     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 282768     | 4278.78                    | 4340.32                | 6   | 23014,23182,23350,23016,23184,23352 | 61.54    | 1.44     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 128036     | 1024.43                    | 1084.31                | 6   | 11674,11849,12024,11676,11851,12026 | 59.88    | 5.85     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 565536     | 1825.28                    | 1882.83                | 6   | 1223,1398,1573,1225,1400,1575       | 57.55    | 3.15     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 95268      | 707.69                     | 764.04                 | 6   | 17932,18100,18268,17934,18102,18270 | 56.35    | 7.96     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 190536     | 1422.43                    | 1476.62                | 6   | 3281,3456,3631,3283,3458,3633       | 54.19    | 3.81     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 1868.92                    | 1923.0                 | 6   | 8048,8223,8398,8050,8225,8400       | 54.08    | 2.89     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 3658.89                    | 3710.01                | 6   | 691,866,1041,693,868,1043           | 51.12    | 1.4      |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 157768     | 2719.67                    | 2769.99                | 6   | 23994,24162,24330,23996,24164,24332 | 50.32    | 1.85     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 126518     | 1965.56                    | 2013.89                | 6   | 19955,20123,20291,19957,20125,20293 | 48.33    | 2.46     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 517.82                     | 565.72                 | 6   | 14292,14467,14642,14294,14469,14644 | 47.9     | 9.25     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 282768     | 4477.93                    | 4524.38                | 6   | 19990,20158,20326,19992,20160,20328 | 46.45    | 1.04     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 440536     | 1196.57                    | 1241.95                | 6   | 159,334,509,161,336,511             | 45.38    | 3.79     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 220268     | 3039.32                    | 3080.03                | 6   | 18968,19136,19304,18970,19138,19306 | 40.71    | 1.34     |
