+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+-------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro | patched-geoghegan-munro | cnt |                 qid                 |   diff    | pct_diff |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 64         | 8.15          | 9.45                    | 6   | 2060,2195,2330,2059,2194,2329       | 1.3       | 15.95    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 33.9          | 35.19                   | 6   | 1685,1820,1955,1684,1819,1954       | 1.29      | 3.81     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 128        | 9.98          | 11.23                   | 6   | 5710,5845,5980,5709,5844,5979       | 1.25      | 12.53    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 512        | 15.46         | 16.67                   | 6   | 8690,8810,8930,8689,8809,8929       | 1.21      | 7.83     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 512        | 14.25         | 15.44                   | 6   | 2480,2615,2750,2479,2614,2749       | 1.19      | 8.35     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 8.19          | 9.34                    | 6   | 850,985,1120,849,984,1119           | 1.15      | 14.04    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 16         | 4.86          | 5.99                    | 6   | 2455,2590,2725,2454,2589,2724       | 1.13      | 23.25    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 16         | 4.74          | 5.85                    | 6   | 430,565,700,429,564,699             | 1.11      | 23.42    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 16         | 4.48          | 5.54                    | 6   | 4885,5020,5155,4884,5019,5154       | 1.06      | 23.66    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 16         | 5.26          | 6.3                     | 6   | 3670,3805,3940,3669,3804,3939       | 1.04      | 19.77    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 120.14        | 121.15                  | 6   | 80,215,350,79,214,349               | 1.01      | 0.84     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2048       | 24.87         | 25.87                   | 6   | 4515,4650,4785,4514,4649,4784       | 1.0       | 4.02     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 32         | 7.97          | 8.93                    | 6   | 3675,3810,3945,3674,3809,3944       | 0.96      | 12.05    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1024       | 17.6          | 18.56                   | 6   | 460,595,730,459,594,729             | 0.96      | 5.45     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 8192       | 57.11         | 58.06                   | 6   | 4525,4660,4795,4524,4659,4794       | 0.95      | 1.66     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 30.29         | 31.24                   | 6   | 4115,4250,4385,4114,4249,4384       | 0.95      | 3.14     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 32         | 6.89          | 7.81                    | 6   | 5295,5430,5565,5294,5429,5564       | 0.92      | 13.35    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8          | 3.27          | 4.16                    | 6   | 5690,5825,5960,5689,5824,5959       | 0.89      | 27.22    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 32         | 8.64          | 9.51                    | 6   | 2460,2595,2730,2459,2594,2729       | 0.87      | 10.07    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 16         | 5.48          | 6.32                    | 6   | 835,970,1105,834,969,1104           | 0.84      | 15.33    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 32         | 7.25          | 8.03                    | 6   | 6105,6240,6375,6104,6239,6374       | 0.78      | 10.76    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 16         | 5.0           | 5.77                    | 6   | 2860,2995,3130,2859,2994,3129       | 0.77      | 15.4     |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 4096       | 64.3          | 65.06                   | 6   | 7265,7385,7505,7264,7384,7504       | 0.76      | 1.18     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 131072     | 736.81        | 737.56                  | 6   | 495,630,765,494,629,764             | 0.75      | 0.1      |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2          | 1.38          | 2.13                    | 6   | 5680,5815,5950,5679,5814,5949       | 0.75      | 54.35    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 128        | 13.2          | 13.92                   | 6   | 1255,1390,1525,1254,1389,1524       | 0.72      | 5.45     |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 64         | 4.02          | 4.73                    | 2   | 10475,10474                         | 0.71      | 17.66    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4          | 2.09          | 2.8                     | 6   | 4470,4605,4740,4469,4604,4739       | 0.71      | 33.97    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2          | 1.56          | 2.21                    | 6   | 10,145,280,9,144,279                | 0.65      | 41.67    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 2          | 2.21          | 2.86                    | 6   | 7570,7690,7810,7569,7689,7809       | 0.65      | 29.41    |
