+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 189018     | 1464.5                       | 1512.26                          | 6   | 17951,18119,18287,17954,18122,18290 | 47.76    | 3.26     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 440536     | 3186.41                      | 3232.5                           | 6   | 13282,13457,13632,13285,13460,13635 | 46.09    | 1.45     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 220268     | 3780.14                      | 3825.19                          | 6   | 24006,24174,24342,24009,24177,24345 | 45.05    | 1.19     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 282768     | 4881.24                      | 4926.18                          | 6   | 24020,24188,24356,24023,24191,24359 | 44.94    | 0.92     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 282768     | 3928.36                      | 3973.22                          | 6   | 21500,21668,21836,21503,21671,21839 | 44.86    | 1.14     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4545.69                      | 4590.35                          | 6   | 14346,14521,14696,14349,14524,14699 | 44.66    | 0.98     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 503036     | 1325.24                      | 1369.0                           | 6   | 6989,7164,7339,6992,7167,7342       | 43.76    | 3.3      |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 3656.87                      | 3700.15                          | 6   | 689,864,1039,692,867,1042           | 43.28    | 1.18     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 189018     | 3241.0                       | 3282.92                          | 6   | 23999,24167,24335,24002,24170,24338 | 41.92    | 1.29     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 126518     | 2155.67                      | 2197.36                          | 6   | 18441,18609,18777,18444,18612,18780 | 41.69    | 1.93     |
