+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1512144    | 1810.07                          | 2998.05                | 6   | 52919,53108,53297,52920,53109,53298 | 65.63    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1012144    | 1226.6                           | 2028.09                | 6   | 52905,53094,53283,52906,53095,53284 | 65.34    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1762144    | 2147.72                          | 3540.91                | 6   | 52926,53115,53304,52927,53116,53305 | 64.87    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2012144    | 2433.49                          | 4007.91                | 6   | 52933,53122,53311,52934,53123,53312 | 64.7     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 324.79                           | 529.42                 | 6   | 52884,53073,53262,52885,53074,53263 | 63.0     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 84.13                            | 136.69                 | 6   | 52870,53059,53248,52871,53060,53249 | 62.47    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 16         | 1.08                             | 1.75                   | 4   | 53920,54109,53921,54110             | 62.04    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 1          | 1.08                             | 1.74                   | 6   | 14181,14356,14531,14182,14357,14532 | 61.11    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1262144    | 1596.15                          | 2526.21                | 6   | 52912,53101,53290,52913,53102,53291 | 58.27    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 256        | 8.85                             | 13.93                  | 6   | 44309,44498,44687,44310,44499,44688 | 57.4     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 8          | 1.23                             | 1.93                   | 6   | 5802,5977,6152,5803,5978,6153       | 56.91    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 171.19                           | 268.58                 | 6   | 52877,53066,53255,52878,53067,53256 | 56.89    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 32         | 1.51                             | 2.36                   | 6   | 3191,3366,3541,3192,3367,3542       | 56.29    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 12.91                            | 19.76                  | 6   | 52849,53038,53227,52850,53039,53228 | 53.06    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2262144    | 2815.33                          | 4238.55                | 6   | 52940,53129,53318,52941,53130,53319 | 50.55    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 262144     | 104.29                           | 156.52                 | 6   | 32913,33116,33319,32914,33117,33320 | 50.08    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 46.15                            | 69.03                  | 6   | 52863,53052,53241,52864,53053,53242 | 49.58    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8048576    | 2938.94                          | 4387.79                | 6   | 34194,34397,34600,34195,34398,34601 | 49.3     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 6048576    | 2216.83                          | 3303.65                | 6   | 34180,34383,34586,34181,34384,34587 | 49.03    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 24.73                            | 36.84                  | 6   | 52856,53045,53234,52857,53046,53235 | 48.97    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 8048576    | 2939.82                          | 4368.7                 | 6   | 26277,26480,26683,26278,26481,26684 | 48.6     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 65536      | 77.47                            | 114.26                 | 6   | 32290,32493,32696,32291,32494,32697 | 47.49    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 5.86                             | 8.62                   | 6   | 52233,52422,52611,52234,52423,52612 | 47.1     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 29.61                            | 43.54                  | 6   | 24982,25185,25388,24983,25186,25389 | 47.04    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 3048576    | 1116.64                          | 1641.92                | 6   | 26242,26445,26648,26243,26446,26649 | 47.04    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 6048576    | 2230.75                          | 3277.87                | 6   | 26263,26466,26669,26264,26467,26670 | 46.94    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 1048576    | 391.76                           | 574.79                 | 6   | 32927,33130,33333,32928,33131,33334 | 46.72    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 762144     | 921.13                           | 1347.91                | 6   | 52898,53087,53276,52899,53088,53277 | 46.33    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048576    | 756.55                           | 1101.01                | 6   | 34152,34355,34558,34153,34356,34559 | 45.53    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 2          | 1.21                             | 1.76                   | 6   | 8413,8588,8763,8414,8589,8764       | 45.45    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 4048576    | 1502.92                          | 2185.23                | 6   | 26249,26452,26655,26250,26453,26656 | 45.4     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 524288     | 200.02                           | 290.79                 | 6   | 25003,25206,25409,25004,25207,25410 | 45.38    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4048576    | 1507.85                          | 2180.42                | 6   | 34166,34369,34572,34167,34370,34573 | 44.6     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 55.33                            | 79.91                  | 6   | 24989,25192,25395,24990,25193,25396 | 44.42    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 3341.86                          | 4825.82                | 6   | 26284,26487,26690,26285,26488,26691 | 44.41    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 128        | 7.48                             | 10.79                  | 6   | 34663,34852,35041,34664,34853,35042 | 44.25    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 3048576    | 1141.81                          | 1646.61                | 6   | 32941,33144,33347,32942,33145,33348 | 44.21    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8048576    | 2956.1                           | 4262.39                | 6   | 25059,25262,25465,25060,25263,25466 | 44.19    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 3048576    | 1148.58                          | 1654.39                | 6   | 25024,25227,25430,25025,25228,25431 | 44.04    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 7048576    | 2612.26                          | 3759.11                | 6   | 32969,33172,33375,32970,33173,33376 | 43.9     |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 256        | 10.8                             | 15.53                  | 6   | 36938,37127,37316,36939,37128,37317 | 43.8     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 2048576    | 768.15                           | 1103.99                | 6   | 25017,25220,25423,25018,25221,25424 | 43.72    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 201.5                            | 289.45                 | 6   | 32920,33123,33326,32921,33124,33327 | 43.65    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 1497.43                          | 2149.27                | 6   | 25031,25234,25437,25032,25235,25438 | 43.53    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 5048576    | 1878.8                           | 2693.61                | 6   | 25038,25241,25444,25039,25242,25445 | 43.37    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 6048576    | 2255.4                           | 3226.92                | 6   | 32962,33165,33368,32963,33166,33369 | 43.08    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 2048576    | 773.62                           | 1105.97                | 6   | 32934,33137,33340,32935,33138,33341 | 42.96    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 16.35                            | 23.37                  | 6   | 24975,25178,25381,24976,25179,25382 | 42.94    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 2048576    | 767.69                           | 1093.11                | 6   | 26235,26438,26641,26236,26439,26642 | 42.39    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 9048576    | 3372.61                          | 4788.75                | 6   | 32983,33186,33389,32984,33187,33390 | 41.99    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 104.81                           | 148.78                 | 6   | 24996,25199,25402,24997,25200,25403 | 41.95    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 7.51                             | 10.63                  | 6   | 52842,53031,53220,52843,53032,53221 | 41.54    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8048576    | 2983.92                          | 4222.63                | 6   | 32976,33179,33382,32977,33180,33383 | 41.51    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3048576    | 1145.5                           | 1619.17                | 6   | 34159,34362,34565,34160,34363,34566 | 41.35    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 9048576    | 3417.78                          | 4826.14                | 6   | 34201,34404,34607,34202,34405,34608 | 41.21    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 7048576    | 2598.34                          | 3662.84                | 6   | 25052,25255,25458,25053,25256,25459 | 40.97    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1048576    | 399.4                            | 561.94                 | 6   | 34145,34348,34551,34146,34349,34552 | 40.7     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 1048576    | 397.23                           | 557.97                 | 6   | 26228,26431,26634,26229,26432,26635 | 40.47    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 64         | 1.96                             | 2.75                   | 6   | 29175,29378,29581,29176,29379,29582 | 40.31    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 524288     | 202.97                           | 282.24                 | 6   | 26221,26424,26627,26222,26425,26628 | 39.06    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 5048576    | 1926.48                          | 2673.57                | 6   | 32955,33158,33361,32956,33159,33362 | 38.78    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 16         | 1.73                             | 2.4                    | 6   | 29161,29364,29567,29162,29365,29568 | 38.73    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 16.62                            | 23.03                  | 6   | 32892,33095,33298,32893,33096,33299 | 38.57    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 256        | 8.03                             | 11.08                  | 6   | 45443,45632,45821,45444,45633,45822 | 37.98    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 32768      | 34.6                             | 47.62                  | 6   | 29238,29441,29644,29239,29442,29645 | 37.63    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 64         | 2.02                             | 2.77                   | 6   | 6348,6523,6698,6349,6524,6699       | 37.13    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 131072     | 60.77                            | 83.33                  | 6   | 32906,33109,33312,32907,33110,33313 | 37.12    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 2          | 0.98                             | 1.34                   | 6   | 8938,9113,9288,8939,9114,9289       | 36.73    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 16         | 1.2                              | 1.64                   | 6   | 53353,53542,53731,53354,53543,53732 | 36.67    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 32         | 7.44                             | 10.09                  | 6   | 38051,38240,38429,38052,38241,38430 | 35.62    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 65536      | 32.66                            | 43.97                  | 6   | 32899,33102,33305,32900,33103,33306 | 34.63    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2048       | 18.18                            | 24.46                  | 6   | 35258,35447,35636,35259,35448,35637 | 34.54    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 5.94                             | 7.93                   | 6   | 24961,25164,25367,24962,25165,25368 | 33.5     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256        | 8.45                             | 11.17                  | 6   | 43175,43364,43553,43176,43365,43554 | 32.19    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 32         | 3.64                             | 4.79                   | 6   | 43721,43910,44099,43722,43911,44100 | 31.59    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 5.95                             | 7.82                   | 6   | 32878,33081,33284,32879,33082,33285 | 31.43    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 64         | 9.15                             | 12.01                  | 6   | 36357,36546,36735,36358,36547,36736 | 31.26    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 1.03                             | 1.35                   | 6   | 7881,8056,8231,7882,8057,8232       | 31.07    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 7048576    | 2974.32                          | 3885.23                | 6   | 34187,34390,34593,34188,34391,34594 | 30.63    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 128        | 11.7                             | 15.27                  | 6   | 38065,38254,38443,38066,38255,38444 | 30.51    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1          | 0.91                             | 1.18                   | 6   | 15231,15406,15581,15232,15407,15582 | 29.67    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 256        | 9.94                             | 12.87                  | 6   | 51680,51869,52058,51681,51870,52059 | 29.48    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 9.84                             | 12.74                  | 6   | 32885,33088,33291,32886,33089,33292 | 29.47    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 128        | 11.86                            | 15.33                  | 6   | 39766,39955,40144,39767,39956,40145 | 29.26    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1024       | 17.43                            | 22.48                  | 6   | 42622,42811,43000,42623,42812,43001 | 28.97    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 3.01                             | 3.88                   | 6   | 52828,53017,53206,52829,53018,53207 | 28.9     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 16         | 1.38                             | 1.77                   | 6   | 2134,2309,2484,2135,2310,2485       | 28.26    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 8          | 1.33                             | 1.7                    | 6   | 8427,8602,8777,8428,8603,8778       | 27.82    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 5048576    | 2117.6                           | 2706.31                | 6   | 26256,26459,26662,26257,26460,26663 | 27.8     |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 11.9                             | 15.16                  | 6   | 43749,43938,44127,43750,43939,44128 | 27.39    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 65536      | 78.67                            | 100.12                 | 6   | 29854,30057,30260,29855,30058,30261 | 27.27    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 1024       | 16.64                            | 21.17                  | 6   | 48859,49048,49237,48860,49049,49238 | 27.22    |
| 12  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 2.73                             | 3.47                   | 6   | 24408,24576,24744,24409,24577,24745 | 27.11    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 2          | 1.04                             | 1.32                   | 6   | 5788,5963,6138,5789,5964,6139       | 26.92    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 128        | 9.79                             | 12.41                  | 6   | 49972,50161,50350,49973,50162,50351 | 26.76    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 131072     | 179.94                           | 227.93                 | 6   | 32297,32500,32703,32298,32501,32704 | 26.67    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 5048576    | 2152.76                          | 2726.38                | 6   | 34173,34376,34579,34174,34377,34580 | 26.65    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1024       | 8.31                             | 10.51                  | 6   | 4276,4451,4626,4277,4452,4627       | 26.47    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 7048576    | 2981.95                          | 3762.85                | 6   | 26270,26473,26676,26271,26474,26677 | 26.19    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 4          | 1.07                             | 1.35                   | 6   | 9995,10170,10345,9996,10171,10346   | 26.17    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 32768      | 24.05                            | 30.34                  | 6   | 27411,27614,27817,27412,27615,27818 | 26.15    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 4          | 1.35                             | 1.7                    | 6   | 16295,16470,16645,16296,16471,16646 | 25.93    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 524288     | 339.45                           | 427.45                 | 6   | 27439,27642,27845,27440,27643,27846 | 25.92    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 2          | 0.93                             | 1.17                   | 6   | 7888,8063,8238,7889,8064,8239       | 25.81    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 8          | 1.09                             | 1.37                   | 6   | 1602,1777,1952,1603,1778,1953       | 25.69    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 16384      | 13.19                            | 16.56                  | 6   | 27404,27607,27810,27405,27608,27811 | 25.55    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1048576    | 454.09                           | 569.58                 | 6   | 25010,25213,25416,25011,25214,25417 | 25.43    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 512        | 11.06                            | 13.87                  | 6   | 47718,47907,48096,47719,47908,48097 | 25.41    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 32         | 1.7                              | 2.13                   | 6   | 30386,30589,30792,30387,30590,30793 | 25.29    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 16384      | 23.99                            | 30.03                  | 6   | 32276,32479,32682,32277,32480,32683 | 25.18    |
