+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3537.53                    | 3643.98                          | 6   | 14334,14509,14684,14335,14510,14685 | 106.45   | 3.01     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2328.88                    | 2435.13                          | 6   | 3295,3470,3645,3296,3471,3646       | 106.25   | 4.56     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4486.65                    | 4590.35                          | 6   | 14348,14523,14698,14349,14524,14699 | 103.7    | 2.31     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1995.22                    | 2098.32                          | 6   | 14313,14488,14663,14314,14489,14664 | 103.1    | 5.17     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3515.68                    | 3618.19                          | 6   | 11709,11884,12059,11710,11885,12060 | 102.51   | 2.92     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 1898.08                    | 1999.99                          | 6   | 3288,3463,3638,3289,3464,3639       | 101.91   | 5.37     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 378036     | 2817.79                    | 2918.74                          | 6   | 5927,6102,6277,5928,6103,6278       | 100.95   | 3.58     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3314.09                    | 3405.28                          | 6   | 5934,6109,6284,5935,6110,6285       | 91.19    | 2.75     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2368.74                    | 2455.88                          | 6   | 5920,6095,6270,5921,6096,6271       | 87.14    | 3.68     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 9048576    | 14023.12                   | 14103.97                         | 6   | 25674,25877,26080,25675,25878,26081 | 80.85    | 0.58     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | desc       | 282768     | 1919.61                    | 1997.11                          | 6   | 23518,23686,23854,23519,23687,23855 | 77.5     | 4.04     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 315536     | 1215.2                     | 1290.98                          | 6   | 9595,9770,9945,9596,9771,9946       | 75.78    | 6.24     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 190536     | 744.13                     | 814.94                           | 6   | 16406,16581,16756,16407,16582,16757 | 70.81    | 9.52     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 251518     | 1616.05                    | 1685.01                          | 6   | 16959,17127,17295,16960,17128,17296 | 68.96    | 4.27     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1048576    | 386.59                     | 454.09                           | 6   | 25009,25212,25415,25010,25213,25416 | 67.5     | 17.46    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 190536     | 739.95                     | 807.13                           | 6   | 9581,9756,9931,9582,9757,9932       | 67.18    | 9.08     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 3726.15                    | 3792.4                           | 6   | 3316,3491,3666,3317,3492,3667       | 66.25    | 1.78     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 315536     | 1264.34                    | 1330.59                          | 6   | 16420,16595,16770,16421,16596,16771 | 66.25    | 5.24     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 440536     | 1184.49                    | 1248.74                          | 6   | 6984,7159,7334,6985,7160,7335       | 64.25    | 5.42     |
